tic_id,cluster_id,algo,cluster_index
30415110,1,hdbscan,1
30631031,3,hdbscan,3
31181554,-1,hdbscan,-1
31997826,-1,hdbscan,-1
38634572,0,hdbscan,0
41261064,-1,hdbscan,-1
50316633,-1,hdbscan,-1
55270064,-1,hdbscan,-1
55849446,-1,hdbscan,-1
61269826,-1,hdbscan,-1
80089548,0,hdbscan,0
90904124,-1,hdbscan,-1
91330736,0,hdbscan,0
97176846,3,hdbscan,3
98558009,2,hdbscan,2
100229772,0,hdbscan,0
100363222,-1,hdbscan,-1
113343412,2,hdbscan,2
119505749,2,hdbscan,2
128917881,3,hdbscan,3
129580118,-1,hdbscan,-1
140580336,2,hdbscan,2
141024724,3,hdbscan,3
142106624,3,hdbscan,3
149125418,3,hdbscan,3
149176684,0,hdbscan,0
149477100,2,hdbscan,2
150356906,-1,hdbscan,-1
150438041,2,hdbscan,2
167754523,0,hdbscan,0
177282821,-1,hdbscan,-1
177307545,1,hdbscan,1
220408525,3,hdbscan,3
220411843,3,hdbscan,3
220431435,-1,hdbscan,-1
220476607,0,hdbscan,0
231725008,-1,hdbscan,-1
231819995,-1,hdbscan,-1
238192896,3,hdbscan,3
257719469,-1,hdbscan,-1
260267665,3,hdbscan,3
260950734,1,hdbscan,1
261337380,2,hdbscan,2
261745953,0,hdbscan,0
267044642,2,hdbscan,2
269850183,2,hdbscan,2
271597440,2,hdbscan,2
276672967,2,hdbscan,2
277911545,2,hdbscan,2
278658315,-1,hdbscan,-1
279159155,2,hdbscan,2
290350054,2,hdbscan,2
290542693,3,hdbscan,3
293223210,2,hdbscan,2
293480995,0,hdbscan,0
293525326,-1,hdbscan,-1
299808176,3,hdbscan,3
300160320,2,hdbscan,2
304032067,0,hdbscan,0
306822783,1,hdbscan,1
315393980,2,hdbscan,2
316341281,2,hdbscan,2
318178607,0,hdbscan,0
318570583,2,hdbscan,2
319671086,2,hdbscan,2
319740048,-1,hdbscan,-1
322306553,0,hdbscan,0
323006436,3,hdbscan,3
323246164,1,hdbscan,1
323350946,0,hdbscan,0
323517227,0,hdbscan,0
323520762,0,hdbscan,0
326031372,2,hdbscan,2
327595236,2,hdbscan,2
327785134,0,hdbscan,0
349833322,0,hdbscan,0
355210936,2,hdbscan,2
365954483,2,hdbscan,2
370016967,2,hdbscan,2
370114320,3,hdbscan,3
374861626,-1,hdbscan,-1
375034775,1,hdbscan,1
379236118,2,hdbscan,2
382246231,-1,hdbscan,-1
382257554,-1,hdbscan,-1
382578987,0,hdbscan,0
388202207,3,hdbscan,3
391001489,2,hdbscan,2
394631720,1,hdbscan,1
405867785,2,hdbscan,2
406234326,2,hdbscan,2
407621351,1,hdbscan,1
409891588,2,hdbscan,2
410417579,2,hdbscan,2
410442002,3,hdbscan,3
425817867,3,hdbscan,3
441290366,0,hdbscan,0
453079202,2,hdbscan,2
464307773,0,hdbscan,0
466129772,0,hdbscan,0
