number,value,datetime_start,datetime_complete,duration,params_batch_size,params_cluster_embed_dim,params_dropout,params_hidden_size,params_lr,params_n_clusters,params_num_layers,params_weight_decay,state
0,0.9153959207559969,2025-12-05 21:28:55.277503,2025-12-05 21:43:32.515149,0 days 00:14:37.237646,96,16,0.21742508365045984,192,0.0005399484409787432,10,2,4.6225890010208326e-05,COMPLETE
1,0.9140707135865775,2025-12-05 21:43:32.567229,2025-12-05 21:54:51.366940,0 days 00:11:18.799711,128,32,0.2876433945605654,192,5.4041038546473305e-05,5,2,1.5304852121831454e-05,COMPLETE
2,0.9137109972244406,2025-12-05 21:54:51.368942,2025-12-05 22:09:26.054657,0 days 00:14:34.685715,96,16,0.40526990795364704,192,7.591104805282687e-05,10,2,3.292759134423615e-06,COMPLETE
3,0.913230972364715,2025-12-05 22:09:26.056657,2025-12-05 22:13:22.801255,0 days 00:03:56.744598,96,32,0.3793699936433256,128,0.0006978281265126031,10,4,5.989003672254308e-06,COMPLETE
4,0.9163804553706862,2025-12-05 22:13:22.803255,2025-12-05 22:39:12.778205,0 days 00:25:49.974950,112,32,0.4316734307889972,192,2.497073714505272e-05,5,4,3.487712624545935e-05,COMPLETE
5,0.9143645323294325,2025-12-05 22:39:12.779204,2025-12-05 22:41:19.691189,0 days 00:02:06.911985,96,32,0.41888185350141927,128,0.00018841476921545086,3,2,3.3233042062267926e-05,COMPLETE
6,0.9150655258116138,2025-12-05 22:41:19.694189,2025-12-05 22:46:08.978654,0 days 00:04:49.284465,112,32,0.294306794322898,128,0.0001040258761588385,3,3,2.868113482103008e-06,COMPLETE
7,0.9157619850539362,2025-12-05 22:46:08.980658,2025-12-05 22:49:18.939401,0 days 00:03:09.958743,112,64,0.4677676995469933,128,0.00011986281799901183,5,2,2.856737429847189e-06,COMPLETE
8,0.915843601371396,2025-12-05 22:49:18.941400,2025-12-05 23:11:24.413911,0 days 00:22:05.472511,96,32,0.48287291117375575,192,4.4300218067679785e-05,10,3,8.411909465645726e-05,COMPLETE
9,0.8942669675789758,2025-12-05 23:11:24.415912,2025-12-05 23:13:21.085799,0 days 00:01:56.669887,96,16,0.4724797657899961,128,3.0138649046798015e-05,7,2,2.2093834415066278e-05,PRUNED
10,0.8795999107661596,2025-12-05 23:13:21.088801,2025-12-05 23:27:31.975711,0 days 00:14:10.886910,112,64,0.32352007086147677,192,1.0820667205454346e-05,5,4,1.0744583847151153e-06,PRUNED
11,0.8817787641596754,2025-12-05 23:27:31.978709,2025-12-05 23:37:02.637327,0 days 00:09:30.658618,128,32,0.4892250735808649,192,2.0904558775725355e-05,7,3,9.652338212163048e-05,PRUNED
12,0.916099030216779,2025-12-05 23:37:02.640322,2025-12-06 00:02:55.988895,0 days 00:25:53.348573,112,32,0.4276746593907222,192,3.0051114488717908e-05,5,4,9.856916082849149e-05,COMPLETE
13,0.8804647414485747,2025-12-06 00:02:55.990894,2025-12-06 00:17:05.954421,0 days 00:14:09.963527,112,32,0.4135933406640236,192,1.4352407941995743e-05,5,4,5.222764865786765e-05,COMPLETE
14,0.0,2025-12-06 00:17:05.957421,2025-12-06 00:18:21.420383,0 days 00:01:15.462962,112,32,0.36764130781191195,192,2.89476130396263e-05,5,4,1.0728500345250305e-05,COMPLETE
