number,value,datetime_start,datetime_complete,duration,params_batch_size,params_cluster_embed_dim,params_dropout,params_hidden_size,params_lr,params_n_clusters,params_num_layers,params_weight_decay,state
0,1.0,2025-11-10 21:11:50.967397,2025-11-10 21:36:35.413437,0 days 00:24:44.446040,128,16,0.379597545259111,256,2.0513382630874486e-05,10,4,4.6225890010208326e-05,COMPLETE
1,1.0,2025-11-10 21:36:35.416782,2025-11-10 21:41:29.163653,0 days 00:04:53.746871,128,32,0.2873687420594126,256,0.00016738085788752134,5,3,1.5304852121831454e-05,COMPLETE
2,1.0,2025-11-10 21:41:29.164652,2025-11-10 21:43:52.647968,0 days 00:02:23.483316,64,16,0.4425192044349383,256,4.066563313514796e-05,10,4,3.292759134423615e-06,COMPLETE
3,1.0,2025-11-10 21:43:52.648468,2025-11-10 21:44:25.384928,0 days 00:00:32.736460,128,32,0.43253984700833437,128,0.0007568292060167617,10,4,5.989003672254308e-06,COMPLETE
4,1.0,2025-11-10 21:44:25.385428,2025-11-10 21:45:46.270888,0 days 00:01:20.885460,32,32,0.4406590942262119,256,1.4096175149815848e-05,5,2,3.487712624545935e-05,COMPLETE
5,1.0,2025-11-10 21:45:46.271888,2025-11-10 21:46:01.311972,0 days 00:00:15.040084,64,32,0.2190675050858071,128,4.187594718900626e-05,3,2,3.3233042062267926e-05,COMPLETE
6,1.0,2025-11-10 21:46:01.312972,2025-11-10 21:46:27.074671,0 days 00:00:25.761699,32,32,0.23236742809799135,128,1.1557352816269867e-05,3,2,2.868113482103008e-06,COMPLETE
7,1.0,2025-11-10 21:46:27.075171,2025-11-10 21:46:50.320342,0 days 00:00:23.245171,64,64,0.4614381770563153,128,0.00040489662225846743,5,3,2.856737429847189e-06,COMPLETE
8,1.0,2025-11-10 21:46:50.321342,2025-11-10 21:48:08.226045,0 days 00:01:17.904703,64,32,0.2666323431412191,256,1.736723715159314e-05,10,3,8.411909465645726e-05,COMPLETE
9,1.0,2025-11-10 21:48:08.227045,2025-11-10 21:48:31.583703,0 days 00:00:23.356658,64,16,0.3508037069686585,128,1.2675278269816288e-05,7,3,2.2093834415066278e-05,COMPLETE
10,1.0,2025-11-10 21:48:31.584702,2025-11-10 21:58:23.513213,0 days 00:09:51.928511,128,16,0.3720979570664203,256,7.220270730480211e-05,7,4,1.0744583847151153e-06,COMPLETE
11,1.0,2025-11-10 21:58:23.514214,2025-11-10 22:03:17.334234,0 days 00:04:53.820020,128,64,0.2934765540952999,256,0.00019760301058577612,5,3,1.7947809207143682e-05,COMPLETE
12,1.0,2025-11-10 22:03:17.335237,2025-11-10 22:13:09.835296,0 days 00:09:52.500059,128,16,0.3104893353318555,256,0.00019054622193767808,5,4,9.183412351710526e-05,COMPLETE
13,1.0,2025-11-10 22:13:09.835796,2025-11-10 22:18:56.530788,0 days 00:05:46.694992,128,16,0.38580383872516166,256,0.0001277413579943694,10,3,1.113696191422031e-05,COMPLETE
14,1.0,2025-11-10 22:18:56.531788,2025-11-10 22:30:35.902590,0 days 00:11:39.370802,128,64,0.3202867909046132,256,3.863370388119395e-05,10,4,4.860561461981287e-05,COMPLETE
15,1.0,2025-11-10 22:30:35.903590,2025-11-10 22:35:29.670814,0 days 00:04:53.767224,128,32,0.26703424409776194,256,0.00035939172196575517,5,3,1.442554065073417e-05,COMPLETE
16,1.0,2025-11-10 22:35:29.671810,2025-11-10 22:47:08.525917,0 days 00:11:38.854107,128,16,0.49480584703334135,256,8.104480200258302e-05,7,4,7.374027053567587e-06,COMPLETE
17,1.0,2025-11-10 22:47:08.526415,2025-11-10 22:48:29.062990,0 days 00:01:20.536575,32,16,0.39817977374853747,256,2.323089841417068e-05,3,2,4.803361769826674e-05,COMPLETE
18,1.0,2025-11-10 22:48:29.063990,2025-11-10 22:53:49.861323,0 days 00:05:20.797333,128,32,0.3509020129041867,256,0.00012435995663017006,10,3,2.280368304671902e-05,COMPLETE
19,1.0,2025-11-10 22:53:49.862823,2025-11-10 23:03:41.517652,0 days 00:09:51.654829,128,64,0.26130708900861865,256,0.00030559881713422673,5,4,6.18325686354621e-05,COMPLETE
20,1.0,2025-11-10 23:03:41.518652,2025-11-10 23:05:44.051521,0 days 00:02:02.532869,32,16,0.3217493788789753,256,2.6671916422904894e-05,5,3,7.809873813387676e-06,COMPLETE
21,1.0,2025-11-10 23:05:44.052021,2025-11-10 23:08:17.358224,0 days 00:02:33.306203,64,16,0.4036193268257009,256,4.932745736023485e-05,10,4,3.4782023860847367e-06,COMPLETE
22,1.0,2025-11-10 23:08:17.359222,2025-11-10 23:11:29.410552,0 days 00:03:12.051330,64,16,0.4981528355149126,256,2.8655259856797727e-05,10,4,3.511003932879582e-06,COMPLETE
23,1.0,2025-11-10 23:11:29.411051,2025-11-10 23:13:14.930483,0 days 00:01:45.519432,64,16,0.41953669389240994,256,5.961263502263438e-05,10,4,1.4994354288327333e-06,COMPLETE
24,0.9842873176206509,2025-11-10 23:13:14.931483,2025-11-10 23:18:08.773594,0 days 00:04:53.842111,128,16,0.46884115476321164,256,1.9787971029276957e-05,10,3,5.061332843211091e-06,PRUNED
25,1.0,2025-11-10 23:18:08.774093,2025-11-10 23:20:03.458903,0 days 00:01:54.684810,64,32,0.37203657091418635,256,3.311025550302408e-05,10,4,1.9479681528122787e-06,COMPLETE
26,1.0,2025-11-10 23:20:03.459903,2025-11-10 23:20:25.915378,0 days 00:00:22.455475,128,16,0.29294977530003413,128,0.00010392333615413105,3,4,1.132659555165577e-05,COMPLETE
27,1.0,2025-11-10 23:20:25.916377,2025-11-10 23:21:43.264257,0 days 00:01:17.347880,64,16,0.466150963007428,256,0.0001799525677854633,7,3,3.2013259930937614e-05,COMPLETE
28,1.0,2025-11-10 23:21:43.265256,2025-11-10 23:24:28.421737,0 days 00:02:45.156481,32,64,0.4166357743338474,256,5.628714333288865e-05,10,4,1.5452197492739627e-05,COMPLETE
29,1.0,2025-11-10 23:24:28.422736,2025-11-10 23:24:50.805113,0 days 00:00:22.382377,128,32,0.33850853703975736,128,0.0006816425037914682,10,4,5.187615597056706e-06,COMPLETE
