number,value,datetime_start,datetime_complete,duration,params_batch_size,params_cluster_embed_dim,params_dropout,params_hidden_size,params_lr,params_n_clusters,params_num_layers,params_weight_decay,state
0,0.5214233841684822,2025-11-09 09:41:23.787540,2025-11-09 09:50:48.004787,0 days 00:09:24.217247,128,16,0.379597545259111,256,2.0513382630874486e-05,10,4,4.6225890010208326e-05,COMPLETE
1,0.6957153231663036,2025-11-09 09:50:48.007270,2025-11-09 09:55:34.664156,0 days 00:04:46.656886,128,32,0.2873687420594126,256,0.00016738085788752134,5,3,1.5304852121831454e-05,COMPLETE
2,0.6158315177923022,2025-11-09 09:55:34.665161,2025-11-09 09:57:04.822500,0 days 00:01:30.157339,64,16,0.4425192044349383,256,4.066563313514796e-05,10,4,3.292759134423615e-06,COMPLETE
3,0.7305737109658679,2025-11-09 09:57:04.823499,2025-11-09 09:58:49.088534,0 days 00:01:44.265035,128,32,0.43253984700833437,128,0.0007568292060167617,10,4,5.989003672254308e-06,COMPLETE
4,0.6826434277414669,2025-11-09 09:58:49.089538,2025-11-09 10:01:07.454247,0 days 00:02:18.364709,32,32,0.4406590942262119,256,1.4096175149815848e-05,5,2,3.487712624545935e-05,COMPLETE
5,0.5795206971677561,2025-11-09 10:01:07.455252,2025-11-09 10:01:14.794756,0 days 00:00:07.339504,64,32,0.2190675050858071,128,4.187594718900626e-05,3,2,3.3233042062267926e-05,PRUNED
6,0.5816993464052289,2025-11-09 10:01:14.795602,2025-11-09 10:01:27.070241,0 days 00:00:12.274639,32,32,0.23236742809799135,128,1.1557352816269867e-05,3,2,2.868113482103008e-06,COMPLETE
7,0.6935366739288308,2025-11-09 10:01:27.071242,2025-11-09 10:01:45.014069,0 days 00:00:17.942827,64,64,0.4614381770563153,128,0.00040489662225846743,5,3,2.856737429847189e-06,COMPLETE
8,0.4970951343500363,2025-11-09 10:01:45.015068,2025-11-09 10:02:26.133197,0 days 00:00:41.118129,64,32,0.2666323431412191,256,1.736723715159314e-05,10,3,8.411909465645726e-05,PRUNED
9,0.531590413943355,2025-11-09 10:02:26.133697,2025-11-09 10:02:36.742700,0 days 00:00:10.609003,64,16,0.3508037069686585,128,1.2675278269816288e-05,7,3,2.2093834415066278e-05,PRUNED
10,0.6169208424110385,2025-11-09 10:02:36.743199,2025-11-09 10:03:09.153940,0 days 00:00:32.410741,128,64,0.4908611332363597,128,0.0008133545002715511,7,4,1.0744583847151153e-06,PRUNED
11,0.7011619462599855,2025-11-09 10:03:09.154941,2025-11-09 10:07:22.520608,0 days 00:04:13.365667,128,32,0.28625796343362864,256,0.00021369500803049635,5,3,9.420552531403981e-06,COMPLETE
12,0.7465504720406682,2025-11-09 10:07:22.521609,2025-11-09 10:25:33.303169,0 days 00:18:10.781560,128,32,0.3107486457249,256,0.00022460107744912597,5,4,7.558618306725896e-06,COMPLETE
13,0.6252723311546842,2025-11-09 10:25:33.304670,2025-11-09 10:26:02.336150,0 days 00:00:29.031480,128,32,0.37957931309674336,128,0.00098182268781891,10,4,7.292021714640005e-06,PRUNED
14,0.6397966594045025,2025-11-09 10:26:02.336650,2025-11-09 10:26:44.419813,0 days 00:00:42.083163,128,32,0.32622964724211395,128,0.00041945124001915613,5,4,7.302742937282816e-06,PRUNED
15,0.655047204066812,2025-11-09 10:26:44.420313,2025-11-09 10:31:49.044038,0 days 00:05:04.623725,128,64,0.40417244055614765,256,9.911914749627485e-05,10,4,1.4736435748746492e-06,COMPLETE
16,0.5958605664488018,2025-11-09 10:31:49.046245,2025-11-09 10:36:32.801682,0 days 00:04:43.755437,128,32,0.32621353781657186,256,0.0004323070866307252,7,4,4.362597510446983e-06,PRUNED
17,0.5867828612926651,2025-11-09 10:36:32.802679,2025-11-09 10:36:59.335659,0 days 00:00:26.532980,32,32,0.41644099740963436,128,0.0001932983063827723,3,4,1.5528151949575207e-05,PRUNED
18,0.5925925925925927,2025-11-09 10:36:59.336158,2025-11-09 10:39:09.203621,0 days 00:02:09.867463,128,64,0.48732360222033544,256,0.00010351029070280389,10,3,4.630717908953621e-06,PRUNED
19,0.7026143790849673,2025-11-09 10:39:09.205116,2025-11-09 10:41:29.131458,0 days 00:02:19.926342,128,16,0.3428796417718671,128,0.0006387255624731278,5,4,1.7648754163272575e-06,COMPLETE
